redshift,j,z,i,u,r,g,h,k,radiopeak,radiototal
0.36189,,438.5571727101565,315.3742986694593,0.22367972556597007,173.9507615296381,28.0044091211507,,,18.582541485419917,37.24908500649031
0.02255,6875.246510782203,3454.826869292057,3959.370965068845,1430.9563199386457,3496.440180475639,2805.603894499985,5919.702069527326,5364.5145890306085,1.4392927556161017,13.805711779327972
0.35208,,193.92167180502085,138.55635125988772,2.010139369749619,79.36456153089784,13.490434688878223,,,4.052383973231095,9.548636730910937
0.28536,,643.3189802845583,480.8685465903881,13.428462151430322,284.46346320080073,66.0125206042837,,,6.51302958065287,9.037222930633815
0.01498,48315.72561782706,27366.936521138763,21145.90572410932,2516.6704136579897,16129.704937466127,8654.185198804324,57849.55231835258,49788.64412775646,8.701785694719858,83.94986736221728
0.46829,,270.412255731996,157.4803653636055,0.3458011636110535,76.35296938399871,16.219081231001482,,,6.928949194696045,8.100317961320567
0.03049,24484.32628347148,27773.211563762594,18707.94748368136,854.3318367966422,11335.123945098836,4768.9861339467325,34442.931844065286,33168.84169581393,11.125824845296776,27.376692840511513
0.32625,,327.511417144574,232.07385931723073,4.525081203218736,126.71452189574504,24.144928937053933,,,1.2432138716599102,1.1724308144166056
0.10603,3834.319908642567,2486.7157681444855,2173.833037664764,274.67962785677025,1313.4883110833537,798.7789454254209,4519.60148636009,4812.053182673549,37.21207889756686,48.79717583279925
0.28031,317.4592556146457,133.6677430424534,99.45490204469414,20.32481422060107,61.72005925809231,46.733285678373655,492.37945821335063,827.0476605825446,3.2387937267699867,7.793169723288396
0.12889,,1215.6998378637675,869.4132019108478,29.351201830252933,565.4921870687349,207.79059602335585,,,1.7177085977425408,2.127415980223736
0.29592,,474.7078302317107,336.9973603780867,3.698506889373571,201.38470958431904,42.26945177082778,,,9.177667496122488,16.41591032767426
0.49296,,204.93971737268296,126.36484981275397,1.9972212664069142,48.935723191231084,9.918045360546769,,,9.957362141377306,24.613532226553502
0.25611,930.8687770178003,871.0168449533804,596.5214596940796,10.735598654446079,336.37690914863754,92.73124882579789,,1480.2345108112108,39.35933547218924,44.838151354990764
0.31389,,138.8116762506047,91.88106425713852,2.44132920532949,54.9574475489301,11.046541339442298,,,9.8001309176492,16.082973605623668
0.47073,,166.8884587370731,121.01130140089141,1.3342164522312503,51.10064299740574,10.443017182280585,,,,
0.38445,,433.73709488865217,269.41792498864106,0.19571604820052985,150.8085831303252,16.67349039081691,,,4.574311031388053,5.042105660619778
0.27404,,563.4118305042689,382.67133504794145,7.165171615800585,220.4074764533506,54.153465612173015,,,7.125236706763504,9.544847803890535
0.29241,,359.7710033479638,253.2946109045477,3.7707383279774898,150.94773575826153,30.734513751445526,,,15.326639029564545,23.00224567961336
0.01116,112638.89336638819,66992.50751664767,45795.85703549632,2026.8709553486067,28472.54403717313,11924.12157690386,144910.5145849267,125063.41962777043,3.264148624196069,4.380499339978896
0.22268,1100.748611132491,780.5954197465876,550.5872049425282,9.264592638256106,324.5087060149185,85.19742854405,2912.728788053016,1507.753436345381,,
0.1164,,837.1939555486279,659.5178218424181,65.04681210556939,430.5524206770619,202.87393880105418,,,12.831858627885792,15.97878747341767
0.2028,2174.143844919716,1173.8870619536785,800.2508969092121,15.03924228465066,491.1632844984323,142.7007558032147,2864.836274743509,2467.915388012173,11.38804765430264,21.389127050865905
0.17662,2045.9182692438064,1055.9087958106888,708.6408465832121,15.835311876662926,436.14009202438007,132.07676401011847,1710.4091876320958,2067.904564074067,19.30937589825832,27.724629263943598
0.08508,5263.665585270409,4571.158170224617,3188.793024310267,127.76913000270761,1984.386180886995,757.9248796650802,6102.388413462131,5758.777463849719,2.8874474260685092,3.436589122610838
0.33929,,234.4369681938369,171.2482945260713,0.2762014122896934,91.54320913043325,19.843861808869946,,,18.969467793132935,43.6590288283032
0.33933,,248.9008100051403,176.695876128181,0.5670559997174531,95.9458889465658,19.392167180502085,,,3.0923834574502655,3.5306514956988133
0.25837,,581.8699123189784,407.7801010802149,6.944267438943164,248.44255474342214,59.26879315425318,,,6.167408842673949,17.245776493307652
0.06155,13517.250331104025,7770.09510174542,5754.747181826305,210.8755303658259,3695.100630731701,1484.6577915677688,14174.24161560458,14398.943650618114,44.79864879017206,52.55601880995575
0.08466,2800.841309632936,1783.3070389399018,1317.1229467783392,67.9870427955884,878.2660647921656,376.3795961340249,2955.9696166932267,2339.5397126988087,22.605898878162222,27.882743928723254
